2014-02-16 09:15:51,072 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\ileriJavaKasim2013\jsf\workspace\jsf_maven\src\main\resources
2014-02-16 09:15:51,075 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2014-02-16 09:15:51,076 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\ileriJavaKasim2013\jsf\workspace\jsf_maven\src\test\resources
2014-02-16 09:16:52,736 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2014-02-16 09:17:03,810 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\ileriJavaKasim2013\jsf\workspace\jsf_maven
2014-02-16 09:17:03,811 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B 
2014-02-16 09:17:04,185 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: jsf_maven:jsf_maven:0.0.1-SNAPSHOT @ D:\ileriJavaKasim2013\jsf\workspace\jsf_maven\pom.xml.
2014-02-16 09:17:04,471 [Worker-6] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 4
2014-02-16 09:17:04,808 [New I/O client worker #1-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/javax/faces/jsf-api/1.2/jsf-api-1.2.pom
2014-02-16 09:17:04,813 [New I/O client worker #1-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/javax/faces/jsf-api/1.2/jsf-api-1.2.pom
2014-02-16 09:17:04,919 [Worker-6] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 4
2014-02-16 09:17:05,043 [New I/O client worker #2-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/javax/faces/jsf-api/1.2/jsf-api-1.2.jar
2014-02-16 09:17:05,405 [New I/O client worker #2-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/javax/faces/jsf-api/1.2/jsf-api-1.2.jar
2014-02-16 09:17:05,976 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
2014-02-16 09:17:05,977 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\ileriJavaKasim2013\jsf\workspace\jsf_maven\src\main\resources
2014-02-16 09:17:05,979 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1254 actually) to copy filtered resources, i.e. build is platform dependent!
